,state,Rural hospitals,n_beds_rural,Urban hospitals,n_beds_urban,n_hospitals_def,n_beds_def,PHC,CHC,SDH,DH,Total,n_beds_state,n_hospitals_emp,n_beds_emp,Active,Recovered
0,Andhra Pradesh,193,6480,65,16658,1.0,306.0,1417,198,31.0,20,1666,60799,5.0,345.0,83650,813435
1,Arunachal Pradesh,208,2136,10,268,1.0,198.0,122,62,0.0,15,199,2320,0.0,0.0,547,15251
2,Assam,1176,10944,50,6198,8.0,2357.0,1007,166,14.0,33,1220,19115,1.0,75.0,80177,44101
3,Bihar,930,6083,103,5936,2.0,348.0,2007,63,33.0,43,2146,17796,3.0,50.0,96471,398503
4,Chhattisgarh,169,5070,45,4342,0.0,0.0,813,166,12.0,32,1023,14354,0.0,0.0,112561,489690
5,Goa,17,1405,25,1608,2.0,175.0,31,4,2.0,3,40,2666,1.0,15.0,3617,2371
6,Gujarat,364,11715,122,20565,5.0,666.0,1770,385,44.0,37,2236,41129,12.0,910.0,55880,249357
7,Haryana,609,6690,59,4550,3.0,1458.0,500,131,24.0,28,683,13841,7.0,781.0,51436,269910
8,Himachal Pradesh,705,5665,96,6734,6.0,699.0,516,79,61.0,15,671,8706,2.0,150.0,23641,110071
9,Jammu & Kashmir,56,7234,76,4417,11.0,2643.0,702,87,0.0,29,818,11342,1.0,50.0,17666,113860
10,Jharkhand,519,5842,36,4942,2.0,649.0,343,179,13.0,23,558,7404,3.0,210.0,38274,118670
11,Karnataka,2471,21072,374,49093,3.0,1090.0,2547,207,147.0,42,2943,56333,11.0,1675.0,39320,316719
12,Kerala,981,16865,299,21139,5.0,744.0,933,229,82.0,53,1297,39511,12.0,1178.0,232808,1189267
13,Madhya Pradesh,334,10020,117,18819,7.0,1402.0,1420,324,72.0,51,1867,38140,7.0,725.0,89057,393611
14,Maharashtra,273,12398,438,39048,11.0,4202.0,2638,430,101.0,70,3239,68998,13.0,2390.0,621238,3312833
15,Manipur,23,730,7,697,1.0,74.0,87,17,1.0,9,114,2562,0.0,0.0,22943,416
16,Meghalaya,143,1970,14,2487,1.0,247.0,138,29,0.0,13,180,4585,0.0,0.0,1403,14560
17,Mizoram,56,604,34,1393,0.0,0.0,65,10,3.0,9,87,2312,0.0,0.0,672,4642
18,Nagaland,21,630,15,1250,2.0,398.0,134,21,0.0,11,166,1944,0.0,0.0,562,12120
19,Odisha,1655,6339,149,12180,2.0,147.0,1360,377,27.0,35,1799,16497,6.0,325.0,39782,305230
20,Punjab,510,5805,172,12128,10.0,2990.0,521,146,47.0,28,742,13527,8.0,647.0,37682,238236
21,Rajasthan,602,21088,150,10760,11.0,2115.0,2463,579,64.0,33,3139,51844,6.0,495.0,142064,365715
22,Tamil Nadu,692,40179,525,37353,3.0,373.0,1854,385,310.0,32,2581,72616,10.0,1856.0,91326,834601
23,Telangana,802,7668,61,13315,3.0,764.0,788,82,47.0,15,932,17358,7.0,907.0,190222,166
24,Tripura,99,1140,56,3277,1.0,49.0,114,22,12.0,9,157,4895,0.0,0.0,777,30554
25,Uttar Pradesh,4442,39104,193,37156,15.0,4570.0,3277,671,0.0,174,4122,58310,16.0,1886.0,273312,717439
26,Uttarakhand,410,3284,50,5228,5.0,1402.0,275,69,19.0,20,383,6660,0.0,0.0,26108,90203
27,West Bengal,1272,19684,294,58882,7.0,2107.0,1374,406,70.0,55,1905,51163,14.0,3534.0,42074,292136
28,Andaman & Nicobar Islands,27,575,3,500,1.0,107.0,27,4,0.0,3,34,1246,0.0,0.0,19,32
29,Chandigarh,0,0,4,778,0.0,0.0,40,2,1.0,4,47,3756,1.0,70.0,5575,33498
30,Daman & Diu,5,240,0,0,0.0,0.0,4,2,0.0,2,8,298,0.0,0.0,479,2154
31,Delhi,0,0,109,24383,2.0,1993.0,534,25,9.0,47,615,20572,4.0,1416.0,89592,23572
32,Lakshadweep,9,300,0,0,0.0,0.0,4,3,2.0,1,10,250,0.0,0.0,1179,1060
33,Puducherry,3,96,11,3473,0.0,0.0,40,4,5.0,4,53,4462,1.0,75.0,7510,45758
